439023483|The Hunger Games
439554934|Harry Potter and the Philosopher's Stone
316015849|Twilight
61120081|To Kill a Mockingbird
743273567|The Great Gatsby
525478817|The Fault in Our Stars
618260307|The Hobbit or There and Back Again
316769177|The Catcher in the Rye
679783261|Pride and Prejudice
1594480001|The Kite Runner 
62024035|Divergent
451524934|Nineteen Eighty-Four
452284244|Animal Farm: A Fairy Story
553296981|Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944
439023491|Catching Fire
043965548X|Harry Potter and the Prisoner of Azkaban
618346252| The Fellowship of the Ring
439023513|Mockingjay
439358078|Harry Potter and the Order of the Phoenix
316166685|The Lovely Bones
439064864|Harry Potter and the Chamber of Secrets
439139600|Harry Potter and the Goblet of Fire
545010225|Harry Potter and the Deathly Hallows
307277674|The Da Vinci Code
439785960|Harry Potter and the Half-Blood Prince
140283331|Lord of the Flies 
743477111|An Excellent conceited Tragedie of Romeo and Juliet
297859382|Gone Girl
399155341|The Help
142000671|Of Mice and Men 
739326228|Memoirs of a Geisha
1612130291|Fifty Shades of Grey
61122416|O Alquimista
385732554|The Giver
60764899|The Lion, the Witch and the Wardrobe
965818675|The Time Traveler's Wife
553588486|A Game of Thrones
143038419|Eat, pray, love: one woman's search for everything across Italy, India and Indonesia
786838655|The Lightning Thief
451529308|Little Women
142437204|Jane Eyre
553816713|The Notebook
770430074|Life of Pi
1565125606|Water for Elephants
375831002|The Book Thief
307347974|Fahrenheit 451
60513039|Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein
1416914285|City of Bones
316160202|Eclipse
375826696|Eragon
345391802|The Hitchhiker's Guide to the Galaxy
60929871|Brave New World
031606792X|Breaking Dawn
142001740|The Secret Life of Bees
142437174|The Adventures of Huckleberry Finn
64410935|Charlotte's Web
1400032717|The Curious Incident of the Dog in the Night-Time
1594633665|The Girl on the Train
679879242|Northern Light
393978893|Wuthering Heights
743454537|My Sister's Keeper
385333846|Slaughterhouse-Five
1594489505|A Thousand Splendid Suns
671027344|The Perks of Being a Wallflower
7442912|Insurgent
812550706|Ender's Game
141439475|Frankenstein; or, The Modern Prometheus
450040186|The Shining
316068047|The Host
142402516|Looking for Alaska
141439661|Sense and Sensibility
439244196|Holes
307275558|The Devil Wears Prada
156012197|Le Petit Prince
074324754X|The Glass Castle
385486804|Into the Wild
141439602|A Tale of Two Cities
030734813X|Jurassic Park
60256656|The Giving Tree
385338600|A Time to Kill
374500010|Un di Velt Hot Geshvign
014241493X|Paper Towns
345418263|The Princess Bride
014038572X|The Outsiders
385737947|The Maze Runner
61234001|Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
517189607|The Secret Garden
375751513|The Picture of Dorian Gray
345803507|Fifty Shades Freed
393970124|Dracula
307269981|Flickan som lekte med elden
1612130585|Fifty Shades Darker
60786507|The Poisonwood Bible
349113912|Me Talk Pretty One Day
99408392|Where the Wild Things Are
140449264|Le Comte de Monte-Cristo
307265439|The Road
7524277|Allegiant
446693804|A Walk to Remember
440241413|Confessions of a Shopaholic
553381695|A Clash of Kings
143037145|The Memory Keeper's Daughter
670026603|Me Before You
684833395|Catch-22
751529818|Tuesdays with Morrie
312422156|Middlesex
143039563|The Adventures of Tom Sawyer
440498058|A Wrinkle in Time
143038095|The Joy Luck Club
038549081X|The Handmaid's Tale
385729332|The Sisterhood of the Traveling Pants
60987103|Wicked: The Life and Times of the Wicked Witch of the West
582418275|The Firm
316098337|Room
521618746|The Tragicall Historie of Hamlet, Prince of Denmark
340839937|Dune
316346624|The Tipping Point: How Little Things Can Make a Big Difference
1451648537|Steve Jobs
451163966|One Flew Over the Cuckoo's Nest
684830493|The Old Man and the Sea
142000663|The Grapes of Wrath
1401308589|The Five People You Meet in Heaven
451528824|Anne of Green Gables
1416914307|City of Glass
055357342X|A Storm of Swords
006075995X|Divine Secrets of the Ya-Ya Sisterhood
440242940|Outlander
142437263|The Scarlet Letter
804139024|The Martian
451207149|The Pillars of the Earth
1400064163|Unbroken: A World War II Story of Survival, Resilience, and Redemption
671027387|Deception Point
316055433|The Goldfinch
1595141715|Thirteen Reasons Why
452287022|Girl with a Pearl Earring
525421033|If I Stay
312353766|The Red Tent
786856866|The Sea of Monsters
446528056|Dear John
1416914293|City of Ashes
743477103|The Tragedy of Macbeth
618346260|The Two Towers
031232118X|Something Borrowed
394800168|Green Eggs and Ham
142403881|Charlie and the Chocolate Factory
1423101464|The Battle of the Labyrinth
192833596|Great Expectations
345339738|The Return of the King
142311339X|The Lost Hero
055358202X|A Feast for Crows
525423648|Matched
747263744|American Gods
385199570|The Stand
446547565|The Last Song
552151696|Digital Fortress
141439580|Emma
393312836|A Clockwork Orange
964729237|The Shack: Where Tragedy Confronts Eternity
739380338|The Last Olympian
451169514|It
61148512|The Bell Jar
7205236|Angela's Ashes: A Memoir
553208845|Siddhartha
679745580|In Cold Blood
316042676|Beautiful Creatures
1416975861|Clockwork Angel
141301066|Matilda
385534639|The Night Circus
743227441|The Other Boleyn Girl
689865384|Uglies
618640150|The Lord of the Rings
307592731|Wild: From Lost to Found on the Pacific Crest Trail 
930289234|Watchmen
075640407X|The Name of the Wind
316017922|Outliers: The Story of Success
142437247|Moby Dick; or, The Whale
385340990|The Guernsey Literary and Potato Peel Pie Society
393327345|Fight Club
441008534|Dead Until Dark
671727796|The Color Purple
312330871|Ten Little Niggers
385504225|The Lost Symbol
1416989412|Hush, Hush
1561797464|A Christmas Carol
345476875|Interview with the Vampire
62059939|The Selection
312362080|One for the Money
1400052173|The Immortal Life of Henrietta Lacks
99446782|The Silence of the Lambs
316010669|Blink: The Power of Thinking Without Thinking
038572179X|Atonement
553213695|Die Verwandlung
141382899|The Titan's Curse
1554681723|The Art of Racing in the Rain
739303406|The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America
425263908|Bared to You
66238501|The Chronicles of Narnia
316043133|Twilight: The Complete Illustrated Movie Companion
752864327|The Bourne Identity
786817879|Artemis Fowl
385738935|Fallen
142000655|East of Eden  
307341569|Dark Places
385339089|The Client
312291639|The Nanny Diaries
451527747|Alice's Adventures in Wonderland
192802631|Persuasion
312370830|Elle s'appelait Sarah
452284694|The Gunslinger
014131088X|Speak
399159347|The Husband's Secret 
385494785|Into Thin Air: A Personal Account of the Mt. Everest Disaster
1416524304|Carrie
031242227X|Running with Scissors
307346609|World War Z: An Oral History of the Zombie War
385537859|Inferno
440227534|Number the Stars
446692638|Along Came a Spider
450417395|Misery
307341542|Sharp Objects
439366771|Bridge to Terabithia
312360266|Marked
743269519|The 7 Habits of Highly Effective People
743477545|A Midsummer Night's Dream
618711651|Extremely Loud and Incredibly Close
375869026|Wonder
039480001X|The Cat in the Hat
312641893|Cinder
316206849|The Cuckoo's Calling
545123267|Shiver
452011876|Atlas Shrugged
143038257|Three Cups of Tea 
143034901|La sombra del viento
385738757|The Scorch Trials
767900383|Under the Tuscan Sun
399167064|Big Little Lies
590920685|Ella Enchanted
743297334|The Sun Also Rises
61120073|A Tree Grows In Brooklyn 
446677388|Kiss the Girls
312577222|The Nightingale
1400078776|Never Let Me Go
786890754|PS, I Love You
1844080382|Rebecca
156030306|Flowers for Algernon
552995878|Como agua para chocolate
812968069|Snow Flower and the Secret Fan
451205766|The Godfather
525476881|An Abundance of Katherines
553803719|Foundation
62255657|The Ocean at the End of the Lane
60513063|A Light in the Attic
751565350|Harry Potter and the Cursed Child, Parts One and Two
61726834|Delirium
385339704|The Pelican Brief
61139378|Coraline
60853980|Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch
140042598|On the Road
1476729085|The Rosie Project
446579939|The Lucky One
451191153|The Fountainhead
425172902|The Hunt for Red October
038039586X|Watership Down
307886263|Is Everyone Hanging Out Without Me? (And Other Concerns)
375414495|Cutting for Stone
006112527X|The Voyage of the Dawn Treader
753453800|Treasure Island
1423140591|The Son of Neptune 
241003008|The Very Hungry Caterpillar
140285601|Cat's Cradle
451528557|The Time Machine
385751060|The Boy in the Striped Pyjamas
1892295490|Heart of Darkness
044654759X|Safe Haven
1582701709|The Secret
60987561|I Know This Much Is True 
1416524347|Pet Sematary
671021001|She's Come Undone
756404738|The Wise Man's Fear
440241901|Can You Keep a Secret?
1442403543|City of Fallen Angels
743418174|Good in Bed
380018179|The Thorn Birds
60530928|The Graveyard Book
1451681739|The Light Between Oceans
439709105|Tintenherz
91883768|Who Moved My Cheese?
307279464|A Walk in the Woods
553279378|I Know Why the Caged Bird Sings
61950726|Orphan Train
1442416866|City of Lost Souls
316204277|Where'd You Go, Bernadette
375806814|Where the Red Fern Grows
60557818|Neverwhere
552135399|A Prayer for Owen Meany
316182540|White Oleander
039925675X|Legend
743496728|Nineteen Minutes
1401323251|The Last Lecture
812511816|The Eye of the World
61150142|The Pact
60764902|The magician's nephew
595440096|Still Alice
425263916|Reflected in You
375814248|James and the Giant Peach
